,구분,에볼라바이러스병,마버그열,라싸열,크리미안콩고출혈열,남아메리카출혈열,리프트밸리열,두창,페스트,탄저,보툴리눔독소증,야토병,신종감염병증후군,중증급성호흡기증후군(SARS),중동호흡기증후군(MERS),동물인플루엔자 인체감염증,신종인플루엔자,디프테리아,수두,홍역,콜레라,장티푸스,파라티푸스,세균성이질,장출혈성대장균감염증,A형간염,백일해,유행성이하선염,풍진(2018년이전),풍진(선천성),풍진(후천성),폴리오,수막구균 감염증,b형헤모필루스인플루엔자,폐렴구균 감염증,한센병,성홍열,반코마이신내성황색포도알균(VRSA) 감염증,카바페넴내성장내세균속균종(CRE) 감염증,E형간염,파상풍,B형간염,일본뇌염,C형간염,말라리아,레지오넬라증,비브리오패혈증,발진티푸스,발진열,쯔쯔가무시증,렙토스피라증,브루셀라증,공수병,신증후군출혈열,크로이츠펠트-야콥병(CJD) 및 변종크로이츠펠트-야콥병(vCJD),황열,뎅기열,큐열,웨스트나일열,라임병,진드기매개뇌염,유비저,치쿤구니야열,중증열성혈소판감소증후군(SFTS),지카바이러스감염증
0,강원강릉시,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.549062500000007,0.029375,0.0,0.10249999999999998,0.029375,0.0,0.0146875,0.4553125,0.1175,4.965937499999998,0.0,0.0,0.0,0.0,0.0,0.0,0.07343749999999999,0.0,0.3084374999999999,0.0,0.0,0.0146875,0.0146875,0.029375,0.0146875,1.3199999999999994,0.0146875,0.13218749999999996,0.0,0.0,0.0,0.05875,0.0,0.0,0.0,0.029375,0.029375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029375,0.0
1,강원고성군,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7668749999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.7896875,0.0,0.9834375,0.0,0.0,0.0,0.0,0.0,0.0,0.1128125,0.0,0.225625,0.0,0.0,0.0,0.0,0.225625,0.0,0.9993749999999999,0.1128125,0.1075,0.0,0.0,0.0,0.1128125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1128125,0.0
2,강원동해시,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.084062500000003,0.034375,0.0,0.0340625,0.0,0.0,0.034375,0.34281249999999996,0.0,2.9774999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.1375,0.0,0.17093750000000002,0.0,0.0,0.0,0.0,0.034375,0.0,1.4375000000000002,0.034375,0.205625,0.0,0.0,0.0,0.06843750000000001,0.0,0.0,0.0,0.068125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06875,0.0
3,강원삼척시,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.243749999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.5515625,0.0,5.835625,0.0,0.0,0.0,0.0,0.04625,0.0,0.0925,0.0,1.4671874999999996,0.0,0.0,0.0,0.0,0.0,0.0,1.9765625,0.0,0.0925,0.0,0.0,0.04625,0.04625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1384375,0.0
4,강원속초시,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.109687499999997,0.0,0.0,0.0,0.0,0.0,0.038125,0.3818750000000001,0.038125,2.2140625,0.0,0.0,0.0,0.0,0.0,0.0,0.07625,0.0,0.38125000000000003,0.0,0.0,0.0,0.0,0.190625,0.0,1.3740624999999997,0.114375,0.038125,0.0,0.0,0.0,0.038125,0.038125,0.0,0.0,0.0,0.038125,0.0,0.0,0.0,0.0,0.0,0.0,0.038125,0.0,0.0,0.0
5,강원양구군,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.801250000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.805625,0.0,2.8109374999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.2675,0.0,0.4059375,0.0,0.0,0.0,0.0,0.1321875,0.0,0.6734374999999999,0.0,0.0,0.0,0.0,0.0,0.1353125,0.1353125,0.0,0.0,0.1353125,0.0,0.0,0.0,0.1321875,0.0,0.0,0.0,0.0,0.0,0.39968750000000003,0.0
6,강원양양군,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.655312499999999,0.0,0.0,0.0,0.0,0.0,0.0,0.5671875,0.0,2.0456250000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.3415625,0.0,0.3415625,0.0,0.0,0.0,0.0,0.0,0.0,1.0259375,0.0,0.226875,0.0,0.0,0.0,0.229375,0.0,0.0,0.0,0.1146875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3415625,0.0
7,강원영월군,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.59875,0.0,0.0,0.0,0.0,0.0,0.0,0.793125,0.0,0.9474999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.156875,0.0,0.0,0.079375,0.0,0.079375,0.0,1.7340624999999996,0.0,0.079375,0.0,0.0,0.0,0.0784375,0.0,0.0,0.0,0.39218749999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31625000000000003,0.0
8,강원원주시,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.834062499999998,0.0,0.0,0.027187499999999996,0.0,0.0090625,0.018125,0.9928125,0.03625,3.506874999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0996875,0.0,0.5549999999999997,0.0,0.0,0.0090625,0.0,0.0815625,0.0,1.2590624999999998,0.0090625,0.0634375,0.0090625,0.0,0.0,0.0725,0.027187499999999996,0.0,0.0,0.0725,0.0,0.0,0.03625,0.0,0.0,0.018125,0.0,0.0,0.0,0.1275,0.0
9,강원인제군,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.2290625,0.0,0.0,0.0,0.0,0.0,0.0,0.5843749999999999,0.0,0.5843749999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6796874999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.2653125,0.0,0.0,0.0,0.0,0.0,0.0965625,0.0,0.0,0.0,0.0978125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8743749999999999,0.0
