구분,년,에볼라바이러스병 ,마버그열,라싸열,크리미안콩고출혈열,남아메리카출혈열,리프트밸리열,두창,페스트,탄저,보툴리눔독소증,야토병,신종감염병증후군,중증급성호흡기증후군(SARS),중동호흡기증후군(MERS),동물인플루엔자 인체감염증,신종인플루엔자,디프테리아,수두,홍역,콜레라,장티푸스,파라티푸스,세균성이질,장출혈성대장균감염증,A형간염,백일해,유행성이하선염,풍진(2018년이전),풍진(선천성),풍진(후천성),폴리오,수막구균 감염증,b형헤모필루스인플루엔자,폐렴구균 감염증,한센병,성홍열,반코마이신내성황색포도알균(VRSA) 감염증,카바페넴내성장내세균속균종(CRE) 감염증,E형간염,파상풍,B형간염,일본뇌염,C형간염,말라리아,레지오넬라증,비브리오패혈증,발진티푸스,발진열,쯔쯔가무시증,렙토스피라증,브루셀라증,공수병,신증후군출혈열,크로이츠펠트-야콥병(CJD) 및 변종크로이츠펠트-야콥병(vCJD),황열,뎅기열,큐열,웨스트나일열,라임병,진드기매개뇌염,유비저,치쿤구니야열,중증열성혈소판감소증후군(SFTS),지카바이러스감염증,top5
강원강릉시 ,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,447,0,0,0,2,0,0,0,1,27,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,7,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,"['수두', '유행성이하선염', '쯔쯔가무시증', '신증후군출혈열', '파라티푸스']"
강원강릉시 ,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,405,0,0,0,0,0,0,25,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['수두', 'A형간염', 'B형간염', '쯔쯔가무시증', '유행성이하선염']"
강원강릉시 ,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282,0,0,1,1,0,0,7,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,"['수두', '유행성이하선염', 'A형간염', '쯔쯔가무시증', '신증후군출혈열']"
강원강릉시 ,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,0,0,0,0,0,0,2,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,1,0,0,16,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"['수두', '유행성이하선염', '쯔쯔가무시증', '레지오넬라증', '말라리아']"
강원강릉시 ,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,0,0,0,0,0,0,5,0,65,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"['수두', '유행성이하선염', '쯔쯔가무시증', 'A형간염', '말라리아']"
강원강릉시 ,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,199,0,0,0,0,0,0,8,0,83,0,0,0,0,0,0,6,0,1,0,0,0,0,1,0,0,0,1,0,0,0,5,0,0,0,3,2,0,0,0,0,0,0,0,0,3,0,"['수두', '유행성이하선염', 'A형간염', '폐렴구균 감염증', '쯔쯔가무시증']"
강원강릉시 ,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,408,0,0,0,0,0,0,10,0,306,0,0,0,0,0,0,5,0,2,0,0,0,0,2,0,0,3,1,0,0,0,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,"['수두', '유행성이하선염', '쯔쯔가무시증', 'A형간염', '폐렴구균 감염증']"
강원강릉시 ,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,0,0,0,1,0,1,15,0,234,0,0,0,0,0,0,3,0,14,0,24,0,0,1,0,18,2,0,0,0,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,"['유행성이하선염', '수두', '카바페넴내성장내세균속균종(CRE) 감염증', 'C형간염', 'A형간염']"
강원강릉시 ,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,510,1,0,6,1,0,0,5,8,163,0,0,0,0,0,0,2,0,6,0,48,0,0,1,0,39,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"['수두', '유행성이하선염', '카바페넴내성장내세균속균종(CRE) 감염증', 'C형간염', '백일해']"
강원강릉시 ,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306,1,0,0,0,0,0,21,0,130,0,0,0,0,0,0,2,0,11,0,44,0,0,0,1,23,1,4,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,"['수두', '유행성이하선염', '카바페넴내성장내세균속균종(CRE) 감염증', 'C형간염', 'A형간염']"
강원강릉시 ,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,1,0,1,5,0,42,0,0,0,0,0,0,1,0,0,0,22,1,1,1,0,25,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"['수두', '유행성이하선염', 'C형간염', '카바페넴내성장내세균속균종(CRE) 감염증', 'A형간염']"
강원고성군 ,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"['말라리아', '수두', '쯔쯔가무시증', '유행성이하선염', '신증후군출혈열']"
강원고성군 ,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,1,0,0,11,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['수두', 'A형간염', '유행성이하선염', '말라리아', '파라티푸스']"
강원고성군 ,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['수두', '유행성이하선염', '쯔쯔가무시증', '말라리아', '지카바이러스감염증']"
강원고성군 ,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['수두', '쯔쯔가무시증', '유행성이하선염', 'B형간염', '지카바이러스감염증']"
강원고성군 ,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['수두', '유행성이하선염', '쯔쯔가무시증', '성홍열', '파상풍']"
강원고성군 ,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"['수두', '유행성이하선염', '중증열성혈소판감소증후군(SFTS)', '폐렴구균 감염증', '말라리아']"
강원고성군 ,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"['수두', '쯔쯔가무시증', '유행성이하선염', 'A형간염', '중증열성혈소판감소증후군(SFTS)']"
강원고성군 ,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['수두', '유행성이하선염', 'C형간염', '성홍열', 'B형간염']"
강원고성군 ,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['수두', '유행성이하선염', 'C형간염', '레지오넬라증', '지카바이러스감염증']"
강원고성군 ,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,7,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"['수두', 'A형간염', 'C형간염', '유행성이하선염', '중증열성혈소판감소증후군(SFTS)']"
